time,data
2024-05-12 07:00:00,116776.33333333331
2024-05-12 07:03:00,116118.33333333331
2024-05-12 07:06:00,116046.66666666669
2024-05-12 07:09:00,111655.33333333331
2024-05-12 07:12:00,116792.33333333331
2024-05-12 07:15:00,112627.66666666669
2024-05-12 07:18:00,110760.33333333331
2024-05-12 07:21:00,108720.33333333331
2024-05-12 07:24:00,110636.0
2024-05-12 07:27:00,110403.33333333331
2024-05-12 07:30:00,111704.0
2024-05-12 07:33:00,113678.0
2024-05-12 07:36:00,117597.0
2024-05-12 07:39:00,116385.33333333331
2024-05-12 07:42:00,115863.0
2024-05-12 07:45:00,115314.66666666669
2024-05-12 07:48:00,107584.33333333331
2024-05-12 07:51:00,101363.33333333331
2024-05-12 07:54:00,99655.0
2024-05-12 07:57:00,102559.33333333331
2024-05-12 08:00:00,111469.0
2024-05-12 08:03:00,119978.0
2024-05-12 08:06:00,129816.66666666669
2024-05-12 08:09:00,126026.33333333331
2024-05-12 08:12:00,133752.33333333334
2024-05-12 08:15:00,140373.33333333334
2024-05-12 08:18:00,139486.66666666666
2024-05-12 08:21:00,141835.33333333334
2024-05-12 08:24:00,141244.0
2024-05-12 08:27:00,138129.66666666666
2024-05-12 08:30:00,143839.66666666666
2024-05-12 08:33:00,159721.66666666666
2024-05-12 08:36:00,164153.0
2024-05-12 08:39:00,161586.66666666666
2024-05-12 08:42:00,158156.66666666666
2024-05-12 08:45:00,160994.66666666666
2024-05-12 08:48:00,163152.0
2024-05-12 08:51:00,164194.0
2024-05-12 08:54:00,153952.33333333334
2024-05-12 08:57:00,133942.0
2024-05-12 09:00:00,140853.0
2024-05-12 09:03:00,151837.33333333334
2024-05-12 09:06:00,148699.66666666666
2024-05-12 09:09:00,143553.0
2024-05-12 09:12:00,135479.66666666666
2024-05-12 09:15:00,132249.66666666666
2024-05-12 09:18:00,129872.66666666669
2024-05-12 09:21:00,126213.33333333331
2024-05-12 09:24:00,118544.0
2024-05-12 09:27:00,119505.66666666669
2024-05-12 09:30:00,109180.33333333331
2024-05-12 09:33:00,98141.66666666669
2024-05-12 09:36:00,103043.66666666669
2024-05-12 09:39:00,124561.33333333331
2024-05-12 09:42:00,100226.0
2024-05-12 09:45:00,100159.0
2024-05-12 09:48:00,104827.0
2024-05-12 09:51:00,120744.0
2024-05-12 09:54:00,110960.33333333331
2024-05-12 09:57:00,116835.66666666669
2024-05-12 10:00:00,109273.0
2024-05-12 10:03:00,122821.66666666669
2024-05-12 10:06:00,126360.33333333331
2024-05-12 10:09:00,118853.33333333331
2024-05-12 10:12:00,102584.33333333331
2024-05-12 10:15:00,103055.33333333331
2024-05-12 10:18:00,104348.66666666669
2024-05-12 10:21:00,105300.66666666669
2024-05-12 10:24:00,111606.33333333331
2024-05-12 10:27:00,118666.33333333331
2024-05-12 10:30:00,115690.0
2024-05-12 10:33:00,116286.0
2024-05-12 10:36:00,124056.33333333331
2024-05-12 10:39:00,121546.33333333331
2024-05-12 10:42:00,123279.33333333331
2024-05-12 10:45:00,121484.33333333331
2024-05-12 10:48:00,120602.0
2024-05-12 10:51:00,121335.33333333331
2024-05-12 10:54:00,116334.33333333331
2024-05-12 10:57:00,118274.33333333331
2024-05-12 11:00:00,121537.33333333331
2024-05-12 11:03:00,119517.0
2024-05-12 11:06:00,126315.33333333331
2024-05-12 11:09:00,123950.66666666669
2024-05-12 11:12:00,123490.33333333331
2024-05-12 11:15:00,127312.33333333331
2024-05-12 11:18:00,136799.66666666666
2024-05-12 11:21:00,125930.33333333331
2024-05-12 11:24:00,113074.0
2024-05-12 11:27:00,116103.0
2024-05-12 11:30:00,116217.66666666669
2024-05-12 11:33:00,108947.66666666669
2024-05-12 11:36:00,113908.0
2024-05-12 11:39:00,113698.0
2024-05-12 11:42:00,110803.66666666669
2024-05-12 11:45:00,114990.66666666669
2024-05-12 11:48:00,116815.33333333331
2024-05-12 11:51:00,120831.33333333331
2024-05-12 11:54:00,124982.33333333331
2024-05-12 11:57:00,127629.33333333331
2024-05-12 12:00:00,122961.0
2024-05-12 12:03:00,130768.66666666669
2024-05-12 12:06:00,137677.0
2024-05-12 12:09:00,128273.0
2024-05-12 12:12:00,112597.66666666669
2024-05-12 12:15:00,112068.0
2024-05-12 12:18:00,108639.0
2024-05-12 12:21:00,107853.66666666669
2024-05-12 12:24:00,106214.0
2024-05-12 12:27:00,107305.66666666669
2024-05-12 12:30:00,107530.66666666669
2024-05-12 12:33:00,106983.33333333331
2024-05-12 12:36:00,108411.33333333331
2024-05-12 12:39:00,108795.66666666669
2024-05-12 12:42:00,107742.66666666669
2024-05-12 12:45:00,110633.66666666669
2024-05-12 12:48:00,109937.33333333331
2024-05-12 12:51:00,125361.66666666669
2024-05-12 12:54:00,112132.66666666669
2024-05-12 12:57:00,110982.0
2024-05-12 13:00:00,119562.0
2024-05-12 13:03:00,114424.66666666669
2024-05-12 13:06:00,117962.33333333331
2024-05-12 13:09:00,117217.0
2024-05-12 13:12:00,116156.66666666669
2024-05-12 13:15:00,115642.0
2024-05-12 13:18:00,118895.0
2024-05-12 13:21:00,120844.0
2024-05-12 13:24:00,116007.0
2024-05-12 13:27:00,125296.66666666669
2024-05-12 13:30:00,131647.0
2024-05-12 13:33:00,133402.33333333334
2024-05-12 13:36:00,130905.0
2024-05-12 13:39:00,133046.0
2024-05-12 13:42:00,132336.66666666666
2024-05-12 13:45:00,134302.33333333334
2024-05-12 13:48:00,141781.0
2024-05-12 13:51:00,164402.0
2024-05-12 13:54:00,161886.66666666666
2024-05-12 13:57:00,159113.66666666666
2024-05-12 14:00:00,168448.66666666666
2024-05-12 14:03:00,180919.66666666663
2024-05-12 14:06:00,177471.33333333334
2024-05-12 14:09:00,172510.66666666666
2024-05-12 14:12:00,161226.33333333334
2024-05-12 14:15:00,162371.33333333334
2024-05-12 14:18:00,163598.66666666666
2024-05-12 14:21:00,153280.33333333334
2024-05-12 14:24:00,149310.0
2024-05-12 14:27:00,147921.66666666666
2024-05-12 14:30:00,148418.0
2024-05-12 14:33:00,142522.33333333334
2024-05-12 14:36:00,142323.33333333334
2024-05-12 14:39:00,143687.66666666666
2024-05-12 14:42:00,149726.66666666666
2024-05-12 14:45:00,155635.66666666666
2024-05-12 14:48:00,153312.0
2024-05-12 14:51:00,146022.66666666666
2024-05-12 14:54:00,144713.33333333334
2024-05-12 14:57:00,141092.33333333334
2024-05-12 15:00:00,146117.66666666666
2024-05-12 15:03:00,130366.33333333331
2024-05-12 15:06:00,125719.66666666669
2024-05-12 15:09:00,128111.33333333331
2024-05-12 15:12:00,123858.66666666669
2024-05-12 15:15:00,121053.0
2024-05-12 15:18:00,129078.33333333331
2024-05-12 15:21:00,128929.0
2024-05-12 15:24:00,127838.0
2024-05-12 15:27:00,126718.0
2024-05-12 15:30:00,126629.0
2024-05-12 15:33:00,130229.33333333331
2024-05-12 15:36:00,132594.66666666666
2024-05-12 15:39:00,130790.0
2024-05-12 15:42:00,127495.33333333331
2024-05-12 15:45:00,131379.0
2024-05-12 15:48:00,132769.66666666666
2024-05-12 15:51:00,151494.33333333334
2024-05-12 15:54:00,137480.66666666666
2024-05-12 15:57:00,132627.0
2024-05-12 16:00:00,143157.66666666666
2024-05-12 16:03:00,153803.33333333334
2024-05-12 16:06:00,149610.0
2024-05-12 16:09:00,146370.33333333334
2024-05-12 16:12:00,127674.0
2024-05-12 16:15:00,129082.0
2024-05-12 16:18:00,129510.33333333331
2024-05-12 16:21:00,128104.66666666669
2024-05-12 16:24:00,130920.66666666669
2024-05-12 16:27:00,129683.66666666669
2024-05-12 16:30:00,130710.66666666669
2024-05-12 16:33:00,127527.33333333331
2024-05-12 16:36:00,124617.0
2024-05-12 16:39:00,122532.33333333331
2024-05-12 16:42:00,122189.0
2024-05-12 16:45:00,125571.33333333331
2024-05-12 16:48:00,133103.66666666666
2024-05-12 16:51:00,140977.66666666666
2024-05-12 16:54:00,137640.33333333334
2024-05-12 16:57:00,129290.33333333331
2024-05-12 17:00:00,135196.0
2024-05-12 17:03:00,135346.33333333334
2024-05-12 17:06:00,139660.0
